Number_of_Subscribers,Channel2,Watch_date,Day_name,Month_name,Gender,Race,Province,Time_Bucket,Age_buckets,total_duration_hhmm
1,Africa Magic,2016-03-21,Mon,March,male,coloured,Eastern Cape,Night,Youth 13-18,00:02
1,E! Entertainment,2016-02-09,Tue,February,male,black,Gauteng,Night,Young Adult 19-30,00:00
2,Trace TV,2016-03-30,Wed,March,None,None,None,Night,Infant,00:03
1,CNN,2016-02-15,Mon,February,male,coloured,Western Cape,Night,Adult 31-64,00:02
2,ICC Cricket World Cup 2011,2016-03-03,Thu,March,male,indian_asian,Gauteng,Night,Adult 31-64,00:07
2,Supersport Live Events,2016-01-08,Fri,January,male,black,Gauteng,Night,Young Adult 19-30,00:32
2,SuperSport Blitz,2016-03-12,Sat,March,male,black,Gauteng,Night,Young Adult 19-30,00:05
2,Africa Magic,2016-01-19,Tue,January,male,black,Gauteng,Night,Adult 31-64,00:02
1,SuperSport Blitz,2016-03-13,Sun,March,male,black,Kwazulu Natal,Night,Young Adult 19-30,00:04
1,SawSee,2016-03-23,Wed,March,male,indian_asian,Gauteng,Night,Young Adult 19-30,00:00
3,Channel O,2016-02-21,Sun,February,male,black,Gauteng,Night,Adult 31-64,00:09
1,Break in transmission,2016-02-10,Wed,February,male,black,Eastern Cape,Night,Adult 31-64,00:00
1,Boomerang,2016-02-15,Mon,February,male,black,Gauteng,Night,Adult 31-64,00:00
1,Supersport Live Events,2016-01-21,Thu,January,male,white,Mpumalanga,Night,Young Adult 19-30,03:13
4,Supersport Live Events,2016-02-18,Thu,February,male,coloured,Western Cape,Night,Adult 31-64,01:00
2,Channel O,2016-01-19,Tue,January,male,black,Mpumalanga,Night,Young Adult 19-30,00:02
1,Africa Magic,2016-01-29,Fri,January,None,None,None,Night,Infant,00:00
1,kykNET,2016-02-12,Fri,February,male,white,Northern Cape,Night,Adult 31-64,00:00
1,Cartoon Network,2016-03-13,Sun,March,female,white,Gauteng,Night,Young Adult 19-30,00:01
1,Cartoon Network,2016-03-15,Tue,March,male,indian_asian,Gauteng,Night,Adult 31-64,00:00
5,Supersport Live Events,2016-02-18,Thu,February,male,white,Gauteng,Night,Young Adult 19-30,00:27
1,Trace TV,2016-03-30,Wed,March,male,indian_asian,Kwazulu Natal,Night,Adult 31-64,00:03
39,ICC Cricket World Cup 2011,2016-03-30,Wed,March,male,indian_asian,Gauteng,Night,Young Adult 19-30,14:48
1,Supersport Live Events,2016-02-11,Thu,February,male,indian_asian,Gauteng,Night,Young Adult 19-30,00:00
1,SuperSport Blitz,2016-03-24,Thu,March,female,white,Gauteng,Night,Adult 31-64,00:00
1,SuperSport Blitz,2016-03-04,Fri,March,male,other,Kwazulu Natal,Night,Adult 31-64,00:00
1,SuperSport Blitz,2016-02-18,Thu,February,male,black,Eastern Cape,Night,Adult 31-64,00:02
1,Channel O,2016-02-06,Sat,February,male,coloured,Gauteng,Night,Young Adult 19-30,00:08
2,ICC Cricket World Cup 2011,2016-03-25,Fri,March,male,black,Gauteng,Night,Young Adult 19-30,00:14
1,Channel O,2016-03-05,Sat,March,male,black,North West,Night,Young Adult 19-30,00:00
1,Cartoon Network,2016-01-11,Mon,January,female,black,Gauteng,Night,Adult 31-64,00:03
1,Boomerang,2016-01-13,Wed,January,male,coloured,Western Cape,Night,Adult 31-64,00:02
1,Cartoon Network,2016-01-09,Sat,January,male,coloured,Gauteng,Night,Young Adult 19-30,00:00
1,Channel O,2016-03-31,Thu,March,female,white,Gauteng,Night,Young Adult 19-30,00:05
1,SuperSport Blitz,2016-01-18,Mon,January,male,white,Gauteng,Night,Adult 31-64,00:00
1,ICC Cricket World Cup 2011,2016-02-19,Fri,February,male,coloured,Western Cape,Night,Child 1-12,00:30
2,SuperSport Blitz,2016-03-07,Mon,March,None,None,None,Night,Infant,00:06
1,Trace TV,2016-03-28,Mon,March,male,indian_asian,Gauteng,Night,Young Adult 19-30,00:01
2,Channel O,2016-01-26,Tue,January,male,black,Gauteng,Night,Adult 31-64,00:10
1,CNN,2016-01-29,Fri,January,female,None,Western Cape,Night,Adult 31-64,00:00
1,SawSee,2016-02-26,Fri,February,male,indian_asian,Limpopo,Night,Young Adult 19-30,00:04
1,Africa Magic,2016-01-12,Tue,January,male,black,Gauteng,Night,Youth 13-18,00:03
1,E! Entertainment,2016-03-29,Tue,March,male,coloured,Kwazulu Natal,Night,Young Adult 19-30,00:00
1,ICC Cricket World Cup 2011,2016-03-02,Wed,March,male,None,Eastern Cape,Night,Young Adult 19-30,00:01
1,Africa Magic,2016-03-28,Mon,March,female,black,Mpumalanga,Night,Adult 31-64,00:02
1,ICC Cricket World Cup 2011,2016-03-02,Wed,March,male,None,Gauteng,Night,Adult 31-64,00:08
3,Trace TV,2016-02-19,Fri,February,male,black,Mpumalanga,Night,Young Adult 19-30,00:01
1,Cartoon Network,2016-03-06,Sun,March,male,coloured,Western Cape,Night,Young Adult 19-30,00:00
1,Trace TV,2016-02-03,Wed,February,male,black,Kwazulu Natal,Night,Young Adult 19-30,00:23
1,Channel O,2016-01-05,Tue,January,male,None,Kwazulu Natal,Night,Adult 31-64,00:11
1,Trace TV,2016-02-28,Sun,February,male,None,Eastern Cape,Night,Young Adult 19-30,00:02
1,Cartoon Network,2016-03-21,Mon,March,male,black,Free State,Night,Young Adult 19-30,00:08
1,Africa Magic,2016-03-31,Thu,March,male,black,Gauteng,Night,Young Adult 19-30,00:00
1,Channel O,2016-03-13,Sun,March,male,white,Gauteng,Night,Youth 13-18,00:06
1,Cartoon Network,2016-02-06,Sat,February,male,coloured,Western Cape,Night,Adult 31-64,00:04
1,Boomerang,2016-02-02,Tue,February,male,coloured,Northern Cape,Night,Adult 31-64,00:07
1,Africa Magic,2016-02-07,Sun,February,female,indian_asian,Kwazulu Natal,Night,Adult 31-64,00:01
1,SuperSport Blitz,2016-01-08,Fri,January,male,black,Limpopo,Night,Adult 31-64,00:02
1,E! Entertainment,2016-02-13,Sat,February,male,coloured,Western Cape,Night,Adult 31-64,02:14
1,SuperSport Blitz,2016-03-21,Mon,March,male,coloured,Eastern Cape,Night,Youth 13-18,00:00
1,Africa Magic,2016-01-22,Fri,January,male,black,Gauteng,Night,Youth 13-18,00:00
1,DStv Events 1,2016-01-05,Tue,January,male,black,Gauteng,Night,Adult 31-64,00:03
1,Supersport Live Events,2016-03-04,Fri,March,male,white,Free State,Night,Young Adult 19-30,00:01
1,Trace TV,2016-02-01,Mon,February,male,black,North West,Night,Young Adult 19-30,00:04
3,ICC Cricket World Cup 2011,2016-03-19,Sat,March,male,indian_asian,Gauteng,Night,Adult 31-64,00:02
1,Boomerang,2016-01-28,Thu,January,male,white,Eastern Cape,Night,Young Adult 19-30,00:00
1,SawSee,2016-01-11,Mon,January,male,white,Kwazulu Natal,Night,Young Adult 19-30,00:02
1,Boomerang,2016-02-14,Sun,February,male,black,Mpumalanga,Night,Adult 31-64,00:37
1,Supersport Live Events,2016-02-26,Fri,February,male,coloured,Kwazulu Natal,Night,Adult 31-64,00:03
2,CNN,2016-02-15,Mon,February,male,black,Gauteng,Night,Adult 31-64,00:13
1,ICC Cricket World Cup 2011,2016-03-01,Tue,March,male,black,Kwazulu Natal,Night,Adult 31-64,00:01
1,Supersport Live Events,2016-03-24,Thu,March,male,white,Limpopo,Night,Adult 31-64,00:00
1,Channel O,2016-01-11,Mon,January,male,coloured,Western Cape,Night,Young Adult 19-30,00:14
1,Trace TV,2016-02-08,Mon,February,male,None,Kwazulu Natal,Night,Young Adult 19-30,00:05
2,Trace TV,2016-02-06,Sat,February,male,black,Mpumalanga,Night,Young Adult 19-30,00:59
1,Channel O,2016-02-15,Mon,February,male,black,Gauteng,Night,Young Adult 19-30,00:11
1,Trace TV,2016-03-12,Sat,March,male,coloured,Western Cape,Night,Young Adult 19-30,00:01
1,E! Entertainment,2016-03-05,Sat,March,female,black,Gauteng,Night,Young Adult 19-30,00:00
1,Supersport Live Events,2016-02-11,Thu,February,male,white,Western Cape,Night,Adult 31-64,00:06
1,Supersport Live Events,2016-03-27,Sun,March,female,indian_asian,Kwazulu Natal,Night,Adult 31-64,00:04
2,Boomerang,2016-02-07,Sun,February,male,white,Gauteng,Night,Young Adult 19-30,00:01
3,ICC Cricket World Cup 2011,2016-03-25,Fri,March,male,white,Kwazulu Natal,Night,Adult 31-64,00:26
1,Africa Magic,2016-02-21,Sun,February,male,black,Eastern Cape,Night,Young Adult 19-30,00:00
2,Supersport Live Events,2016-02-27,Sat,February,male,None,Western Cape,Night,Adult 31-64,00:00
2,Trace TV,2016-03-28,Mon,March,male,black,Mpumalanga,Night,Young Adult 19-30,00:21
